input_name,matched_name,cid,MolecularFormula,MolecularWeight,IUPACName,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,IsomericSMILES,CanonicalSMILES,InChIKey
Thymol,Thymol,6989,C10H14O,150.22,5-methyl-2-propan-2-ylphenol,3.3,20.2,1,1,1,CC1=CC(=C(C=C1)C(C)C)O,CC1=CC(=C(C=C1)C(C)C)O,MGSRCZKZVOBKFT-UHFFFAOYSA-N
Carvacrol,Carvacrol,10364,C10H14O,150.22,2-methyl-5-propan-2-ylphenol,3.1,20.2,1,1,1,CC1=C(C=C(C=C1)C(C)C)O,CC1=C(C=C(C=C1)C(C)C)O,RECUKUPTGUEGMW-UHFFFAOYSA-N
Eugenol,Eugenol,3314,C10H12O2,164.20,2-methoxy-4-prop-2-enylphenol,2,29.5,1,2,3,COC1=C(C=CC(=C1)CC=C)O,COC1=C(C=CC(=C1)CC=C)O,RRAFCDWBNXTKKO-UHFFFAOYSA-N
trans-Cinnamaldehyde,trans-Cinnamaldehyde,637511,C9H8O,132.16,(E)-3-phenylprop-2-enal,1.9,17.1,0,1,2,C1=CC=C(C=C1)/C=C/C=O,C1=CC=C(C=C1)C=CC=O,KJPRLNWUNMBNBZ-QPJJXVBHSA-N
Cinnamyl alcohol,Cinnamyl alcohol,5315892,C9H10O,134.17,(E)-3-phenylprop-2-en-1-ol,1.9,20.2,1,1,2,C1=CC=C(C=C1)/C=C/CO,C1=CC=C(C=C1)C=CCO,OOCCDEMITAIZTP-QPJJXVBHSA-N
Cinnamic acid,Cinnamic acid,444539,C9H8O2,148.16,(E)-3-phenylprop-2-enoic acid,2.1,37.3,1,2,2,C1=CC=C(C=C1)/C=C/C(=O)O,C1=CC=C(C=C1)C=CC(=O)O,WBYWAXJHAXSJNI-VOTSOKGWSA-N
Methyl eugenol,Methyl eugenol,7127,C11H14O2,178.23,"1,2-dimethoxy-4-prop-2-enylbenzene",2.5,18.5,0,2,4,COC1=C(C=C(C=C1)CC=C)OC,COC1=C(C=C(C=C1)CC=C)OC,ZYEMGPIYFIJGTP-UHFFFAOYSA-N
Isoeugenol,Isoeugenol,853433,C10H12O2,164.20,2-methoxy-4-[(E)-prop-1-enyl]phenol,2.6,29.5,1,2,2,C/C=C/C1=CC(=C(C=C1)O)OC,CC=CC1=CC(=C(C=C1)O)OC,BJIOGJUNALELMI-ONEGZZNKSA-N
Estragole,Estragole,8815,C10H12O,148.20,1-methoxy-4-prop-2-enylbenzene,3.4,9.2,0,1,3,COC1=CC=C(C=C1)CC=C,COC1=CC=C(C=C1)CC=C,ZFMSMUAANRJZFM-UHFFFAOYSA-N
trans-Anethole,trans-Anethole,637563,C10H12O,148.20,1-methoxy-4-[(E)-prop-1-enyl]benzene,3.3,9.2,0,1,2,C/C=C/C1=CC=C(C=C1)OC,CC=CC1=CC=C(C=C1)OC,RUVINXPYWBROJD-ONEGZZNKSA-N
