name,MW,XLogP,HBD,HBA,violations,lipinski,pains,alerts
Thymol,150.22,3.3,1.0,1.0,0,pass,pass,
Carvacrol,150.22,3.1,1.0,1.0,0,pass,pass,
Eugenol,164.2,2.0,1.0,2.0,0,pass,pass,
trans-Cinnamaldehyde,132.16,1.9,0.0,1.0,0,pass,pass,
Cinnamyl alcohol,134.17,1.9,1.0,1.0,0,pass,pass,
Cinnamic acid,148.16,2.1,1.0,2.0,0,pass,pass,
Methyl eugenol,178.23,2.5,0.0,2.0,0,pass,pass,
Isoeugenol,164.2,2.6,1.0,2.0,0,pass,pass,
Estragole,148.2,3.4,0.0,1.0,0,pass,pass,
trans-Anethole,148.2,3.3,0.0,1.0,0,pass,pass,
Chavicol,134.17,2.9,1.0,1.0,0,pass,pass,
Safrole,162.18,3.0,0.0,2.0,0,pass,pass,
Methyl cinnamate,162.18,2.6,0.0,2.0,0,pass,pass,
Ethyl cinnamate,176.21,3.0,0.0,2.0,0,pass,pass,
Limonene,136.23,3.4,0.0,0.0,0,pass,pass,
alpha-Pinene,136.23,2.8,0.0,0.0,0,pass,pass,
beta-Pinene,136.23,3.1,0.0,0.0,0,pass,pass,
Sabinene,136.23,3.1,0.0,0.0,0,pass,pass,
Camphene,136.23,3.3,0.0,0.0,0,pass,pass,
beta-Myrcene,136.23,4.3,0.0,0.0,0,pass,pass,
alpha-Terpinene,136.23,2.8,0.0,0.0,0,pass,pass,
gamma-Terpinene,136.23,2.8,0.0,0.0,0,pass,pass,
p-Cymene,134.22,4.1,0.0,0.0,0,pass,pass,
Terpinolene,136.23,2.8,0.0,0.0,0,pass,pass,
delta-3-Carene,136.23,2.8,0.0,0.0,0,pass,pass,
alpha-Phellandrene,136.23,3.2,0.0,0.0,0,pass,pass,
beta-Ocimene,136.23,4.3,0.0,0.0,0,pass,pass,
Linalool,154.25,2.7,1.0,1.0,0,pass,pass,
Geraniol,154.25,2.9,1.0,1.0,0,pass,pass,
Citronellol,156.26,3.2,1.0,1.0,0,pass,pass,
alpha-Terpineol,154.25,1.8,1.0,1.0,0,pass,pass,
Terpinen-4-ol,154.25,2.2,1.0,1.0,0,pass,pass,
Menthol,156.26,3.0,1.0,1.0,0,pass,pass,
Borneol,154.25,2.7,1.0,1.0,0,pass,pass,
Isoborneol,154.25,2.7,1.0,1.0,0,pass,pass,
Nerol,154.25,2.9,1.0,1.0,0,pass,pass,
Lavandulol,154.25,3.0,1.0,1.0,0,pass,pass,
Cuminyl alcohol,150.22,2.3,1.0,1.0,0,pass,pass,
Fenchol,154.25,2.5,1.0,1.0,0,pass,pass,
Perillyl alcohol,152.23,2.1,1.0,1.0,0,pass,pass,
Verbenol,152.23,1.6,1.0,1.0,0,pass,pass,
Citral,152.23,3.0,0.0,1.0,0,pass,pass,
Geranial,152.23,3.0,0.0,1.0,0,pass,pass,
Neral,152.23,3.0,0.0,1.0,0,pass,pass,
Citronellal,154.25,3.0,0.0,1.0,0,pass,pass,
Perillaldehyde,150.22,2.6,0.0,1.0,0,pass,pass,
Cuminaldehyde,148.2,2.7,0.0,1.0,0,pass,pass,
Menthone,154.25,2.7,0.0,1.0,0,pass,pass,
Isomenthone,154.25,2.7,0.0,1.0,0,pass,pass,
Camphor,152.23,2.2,0.0,1.0,0,pass,pass,
Carvone,150.22,2.4,0.0,1.0,0,pass,pass,
Pulegone,152.23,2.8,0.0,1.0,0,pass,pass,
Fenchone,152.23,2.3,0.0,1.0,0,pass,pass,
Verbenone,150.22,1.6,0.0,1.0,0,pass,pass,
Linalyl acetate,196.29,3.3,0.0,2.0,0,pass,pass,
Geranyl acetate,196.29,3.5,0.0,2.0,0,pass,pass,
Citronellyl acetate,198.3,3.8,0.0,2.0,0,pass,pass,
Bornyl acetate,196.29,3.3,0.0,2.0,0,pass,pass,
alpha-Terpinyl acetate,196.29,2.4,0.0,2.0,0,pass,pass,
Neryl acetate,196.29,3.5,0.0,2.0,0,pass,pass,
"1,8-Cineole",154.25,2.5,0.0,1.0,0,pass,pass,
Ascaridole,168.23,2.3,0.0,2.0,0,pass,pass,
Rose oxide,154.25,2.9,0.0,1.0,0,pass,pass,
beta-Caryophyllene,204.35,4.4,0.0,0.0,0,pass,pass,
alpha-Humulene,204.35,4.5,0.0,0.0,0,pass,pass,
Germacrene D,204.35,4.7,0.0,0.0,0,pass,pass,
beta-Elemene,204.35,6.1,0.0,0.0,1,pass,pass,
alpha-Copaene,204.35,4.5,0.0,0.0,0,pass,pass,
Valencene,204.35,5.2,0.0,0.0,1,pass,pass,
beta-Bisabolene,204.35,5.2,0.0,0.0,1,pass,pass,
delta-Cadinene,204.35,3.8,0.0,0.0,0,pass,pass,
Aromadendrene,204.35,4.7,0.0,0.0,0,pass,pass,
Zingiberene,204.35,5.2,0.0,0.0,1,pass,pass,
Caryophyllene oxide,220.35,3.6,0.0,1.0,0,pass,pass,
Farnesol,222.37,4.8,1.0,1.0,0,pass,pass,
Nerolidol,222.37,4.6,1.0,1.0,0,pass,pass,
Spathulenol,220.35,3.1,1.0,1.0,0,pass,pass,
Guaiol,222.37,3.1,1.0,1.0,0,pass,pass,
alpha-Bisabolol,222.37,3.8,1.0,1.0,0,pass,pass,
Elemol,222.37,4.4,1.0,1.0,0,pass,pass,
