index,numbered_file,compound_name,cid,structure_type,canonical_smiles,isomeric_smiles
1,1.sdf,Thymol,6989,3D,CC1=CC(=C(C=C1)C(C)C)O,CC1=CC(=C(C=C1)C(C)C)O
2,2.sdf,Carvacrol,10364,3D,CC1=C(C=C(C=C1)C(C)C)O,CC1=C(C=C(C=C1)C(C)C)O
3,3.sdf,Eugenol,3314,3D,COC1=C(C=CC(=C1)CC=C)O,COC1=C(C=CC(=C1)CC=C)O
4,4.sdf,trans-Cinnamaldehyde,637511,3D,C1=CC=C(C=C1)C=CC=O,C1=CC=C(C=C1)/C=C/C=O
5,5.sdf,Cinnamyl alcohol,5315892,3D,C1=CC=C(C=C1)C=CCO,C1=CC=C(C=C1)/C=C/CO
6,6.sdf,Cinnamic acid,444539,3D,C1=CC=C(C=C1)C=CC(=O)O,C1=CC=C(C=C1)/C=C/C(=O)O
7,7.sdf,Methyl eugenol,7127,3D,COC1=C(C=C(C=C1)CC=C)OC,COC1=C(C=C(C=C1)CC=C)OC
8,8.sdf,Isoeugenol,853433,3D,CC=CC1=CC(=C(C=C1)O)OC,C/C=C/C1=CC(=C(C=C1)O)OC
9,9.sdf,Estragole,8815,3D,COC1=CC=C(C=C1)CC=C,COC1=CC=C(C=C1)CC=C
10,10.sdf,trans-Anethole,637563,3D,CC=CC1=CC=C(C=C1)OC,C/C=C/C1=CC=C(C=C1)OC
11,11.sdf,Chavicol,68148,3D,C=CCC1=CC=C(C=C1)O,C=CCC1=CC=C(C=C1)O
12,12.sdf,Safrole,5144,3D,C=CCC1=CC2=C(C=C1)OCO2,C=CCC1=CC2=C(C=C1)OCO2
13,13.sdf,Methyl cinnamate,637520,3D,COC(=O)C=CC1=CC=CC=C1,COC(=O)/C=C/C1=CC=CC=C1
14,14.sdf,Ethyl cinnamate,637758,3D,CCOC(=O)C=CC1=CC=CC=C1,CCOC(=O)/C=C/C1=CC=CC=C1
15,15.sdf,Limonene,22311,3D,CC1=CCC(CC1)C(=C)C,CC1=CCC(CC1)C(=C)C
16,16.sdf,alpha-Pinene,6654,3D,CC1=CCC2CC1C2(C)C,CC1=CCC2CC1C2(C)C
17,17.sdf,beta-Pinene,14896,3D,CC1(C2CCC(=C)C1C2)C,CC1(C2CCC(=C)C1C2)C
18,18.sdf,Sabinene,18818,3D,CC(C)C12CCC(=C)C1C2,CC(C)C12CCC(=C)C1C2
19,19.sdf,Camphene,6616,3D,CC1(C2CCC(C2)C1=C)C,CC1(C2CCC(C2)C1=C)C
20,20.sdf,beta-Myrcene,31253,3D,CC(=CCCC(=C)C=C)C,CC(=CCCC(=C)C=C)C
21,21.sdf,alpha-Terpinene,7462,3D,CC1=CC=C(CC1)C(C)C,CC1=CC=C(CC1)C(C)C
22,22.sdf,gamma-Terpinene,7461,3D,CC1=CCC(=CC1)C(C)C,CC1=CCC(=CC1)C(C)C
23,23.sdf,p-Cymene,7463,3D,CC1=CC=C(C=C1)C(C)C,CC1=CC=C(C=C1)C(C)C
